Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Key words,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
The Legend of Zelda: Tears of the Kingdom,100,96,4,100%,Switch,Switch,2023,2023,,106,Extra,1,No,Nintendo,Nintendo,The Legend of Zelda,"Adventure, open-world, sandbox, exploration, puzzles, third-person",,,,
Hi-Fi Rush,97,89,8,98%,"XBS, PC",XBS,2023,2023,,21,Extra,2,No,Microsoft,Tango Gameworks,Hi-Fi Rush,"Action, hack and slash, rythm, linear, platforming, story-driven, third-person",,,,
Marvel's Spider-Man 2,96,90,6,96%,PS5,PS5,2023,2023,,22,Extra,1,No,Sony,Insomniac,Marvel's Spider-Man,"Story-driven, open-world, superhero, platforming, third-person",,,,
Cocoon,94,88,6,94%,"PC, PS4, PS5, XB1, XBS, Switch",XBS,2023,2023,,4,Finished,1,No,Annapurna,Geometric Interactive,Cocoon,"Puzzle, adventure, linear",,,,
Final Fantasy XVI,92,88,4,90%,PS5,PS5,2023,2023,,54,Extra,1,No,Square Enix,Square Enix,Final Fantasy,"Action-RPG, story-driven, action, third-person",,,,
Baldur's Gate 3,91,96,-5,87%,PC,PC,2023,2023,,21,Ongoing,0,No,Indie,Larian studios,Baldur's Gate,"RPG, turn-based",,,,
Lies of P,87,82,5,76%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,29,Extra,1,No,Indie,Neowiz Games,Lies of P,"Souslike, action-rpg, third-person",,,,
Star Wars Jedi Survivor,86,84,2,74%,"PC, PS5, XBS",PS5,2023,2023,,23,Finished,1,No,EA,Respawn,Star Wars,"Third-person, soulslike, platforming, exploration, story-driven",,,,
Aces and Adventures,85,84,1,71%,PC,PC,2023,2023,,15,Finished,,No,Yogscast Games,Triple.B.Titles,Aces and Adventures,"Deckbuilding, roguelike, strategy (turn-based)",,,,
Super Mario Bros. Wonder,84,92,-8,68%,Switch,Switch,2023,2023,,11,Finished,1,No,Nintendo,Nintendo,Super Mario (2D),"Platformer, 2D",,,,
Armored Core VI: Fires of Rubicon,82,85,-3,63%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,16,Finished,1,No,Bandai Namco,From Software,Armored Core,"Third-person, action, mecha",,,,
Cassette Beasts,81,86,-5,60%,"PC, XB1, XBS, NSW",PC,2023,2023,,15,Finished,1,No,Indie,Bytten Studio,Cassette Beasts,"RPG, monster collecting, open-world, top-down, turn-based",,,,
Pikmin 4,80,88,-8,57%,Switch,Switch,2023,2023,,16,Extra,1,No,Nintendo,Nintendo,Pikmin,"Third-person, puzzles, strategy",,,,
Diablo 4,79,88,-9,54%,"PS4, PS5, PC, XB1, XBS",PC,2023,2023,,72,Extra,1,No,Activision-Blizzard,Blizzard,Diablo,"Isometric, Action-RPG, hack and slash, open-world, multiplayer (co-op), looter",66,,,
The Crew Motorfest,78,76,2,50%,"PS4, PS5, XB1, XBS, PC",XBS,2023,2023,,34,Extra,,No,Ubisoft,Ivory Tower,The Crew,"Racing (arcade), open-world",,,,
Starfield,76,86,-10,45%,"PC, XBS",XBS,2023,2023,,28,Finished,1,No,Bethesda,Bethesda Softworks,Starfield,"RPG, shooter, first-person, third-person",,,,
F-Zero 99,75,80,-5,42%,Switch,Switch,2023,2023,,2,Finished,,No,Nintendo,Nintendo,F-Zero,"Racing (arcade), multiplayer",,,,
Wild Hearts,73,79,-6,36%,"PC, XB1, XBS, PS4, PS5",XBS,2023,2023,,2,Tried,0,No,EA,Koei Tecmo Games,Wild Hearts,"Action-RPG, third-person",,,,
Cities Skylines 2,72,75,-3,33%,PC,PC,2023,2023,,8,Finished,,No,Paradox Interactive,Colossal Order,Cities Skylines,Simulation (city-building),,,,
Jusant,71,82,-11,30%,"XBS, PS5, PC",XBS,2023,2023,,4,Finished,1,No,Indie,Don't Nod,Jusant,"Adventure, platforming, third-person",,,,
