,0
Reviewscore,0.6860640701723978
Launch Year,0.02057892762563615
Play Year,0.05861154156066802
DLC/ Major update played,0.017455215453599814
Remaster Reviewscore,0.006414628007413538
3D PLATFORMER,0.003373710051988655
EXPLORATION,0.0
STRATEGY (REAL-TIME),0.0020801112475750633
BRAWLER,0.0
MMO,0.010690050612059214
ADVENTURE,0.015857850202529486
FIGHTING,0.0
SANDBOX,0.0025433172880037014
THIRD-PERSON COMBAT,0.005177356824290945
SIMULATION (FARMING),0.0
LINEAR,0.005225092136879546
STRATEGY (TURN-BASED),0.0006768393166276234
STRATEGY (RTS),0.0
HORROR,0.0011731775344724766
COMPILATION,0.0
DECKBUILDING,0.0009053461924085307
SANDOX,0.0
RPG,0.0017557077638676415
ISOMETRIC,0.002094341461832104
SIMULATION (SOCIAL),0.0
METROIDVANIA,0.004028705175206582
RYTHM,0.0
THIRD-PERSON,0.0
SIMULATION,0.0
SIMULATION (LIFE),0.0016434121916384483
RHYTHM,0.0
STRATEGY,0.0
EDUCATIONAL,0.0
MULTIPLAYER (ONLINE),0.0002250837739519911
PUZZLES,0.00022100821558918628
RACING (ARCADE),0.016506400172339175
STEALTH,0.0
SURVIVAL,0.0
MULTIPLAYER,0.0009150527563063939
FIRST PERSON,0.0
SPORTS (OTHER),0.0
TPS,0.0011766406260795403
JRPG,0.001567807341794271
STORY-DRIVEN,0.027795066260267433
RACING (KART),0.0008621488380610135
HACK AND SLASH,0.0022264690509234933
ROGUELIKE,0.0005488668661392331
BASE-BUILDING,0.0
SUPERHERO,0.00045668254684001926
PLATFORMING,0.021541837015220142
SIMULATION (MANAGEMENT),0.0
ACTION-RPG,8.958498367480904e-05
ACTION,0.0017429930823969827
PUZZLE,0.00045912696092589395
SPORT (SKATEBORDING),0.0012351374796150537
SIMULATION (CITY-BUILDING),0.0
OPEN-WORLD,0.008669507519856049
MONSTER COLLECTING,0.0012049457512658983
SHOOT 'EM UP,0.0005222948994561717
PARTY,0.0
BULLET-HELL,0.00019652270982043385
MULTIPLAYER (CO-OP),0.004128636726555207
COMEDY,0.0
RACING (SIMCADE),0.0001283842294704328
VR,0.0
MULTIPLAYER (ARENA),0.0002072206845764239
STRATEGY (TOWER-DEFENSE),0.0
TOWER-DEFENSE,0.0
CARD,0.0
SPORTS (TENNIS),0.0
INTERACTIVE STORY,0.00031704480049136666
FITNESS,0.0
SIDE-SCROLLER,0.0
RACING (SIM),0.00015010480214091069
COLLECTATHON,0.0
SOULSLIKE,0.0016947310096493671
SPORTS (GOLF),0.000442254754042487
MUSOU,0.0
MULTIPLAYER (MOBA),0.0
FPS,0.00020573328275694063
USER CREATION,0.0
SPORTS (FOOTBALL),6.022607152143967e-05
IDLE,0.0
SPORTS,0.00024330264004548393
2D PLATFORMER,0.0011072784168915627
PS4,0.004181048724812782
3DS,0.00023686140965952881
NSW,0.0
VITA,0.003364678657807467
GB,0.0
PS2,0.0
MOBILE,0.004050779702815394
WII,0.002155171543362326
DS,0.00022882171152200615
PC,0.0009111294724392024
SWITCH,0.003524634126612858
GBA,0.0005527557060075271
XBS,0.0030912478417147106
X360,0.003123344236724091
PS,0.005167584288697052
PSP,0.0
XB1,0.0
PS5,0.0013315989419402225
PS3,0.001980840088314086
Play - launch,0.01615875601292423
Remaster played,0.0
Any multiplayer,0.000222596795547309
Any racing,0.005843631137821651
Any sports,3.223910049534364e-05
Any simulation,0.00018955038236602586
Any strategy,0.0004552350306561046
